RegionName,Year,HomeownershipRate,RentalRate,HomeValue_MillionUSD,HomeownerAffordability,RenterAffordability,Income_Tier,Less_than_High_School_Rate,Bachelors_or_Higher_Rate,ElderlyRate,SalesTotal_Million,CPI,MortgageRate,National_Unemployment,NonSingleHouseholdRate,Nominal_GDP_TrillionUSD
"Jonesboro, AR",2016,0.5589037222547614,0.4410962777452386,0.12323462422197083,0.1916483636443388,0.25094974395359,Low Income,3.6,21.4,0.1444962959540421,,240.00541666666663,3.6540384615384616,4.875,0.6360551774281502,18.8049
"Knoxville, TN",2016,0.6800897904020556,0.3199102095979443,0.1596642448053296,0.2014700359556657,0.2231224139417977,Upper-Middle Income,10.3,29.2,0.1767279271318043,,240.00541666666663,3.6540384615384616,4.875,0.6425205117124851,18.8049
"Lafayette, LA",2016,0.7010004227138228,0.2989995772861772,0.17586707211672842,0.2505023656203342,0.2344037698105521,Lower-Middle Income,4.6,22.9,0.1298278022818639,,240.00541666666663,3.6540384615384616,4.875,0.658768493729745,18.8049
"Lake Charles, LA",2016,0.6500012622119001,0.3499987377880998,0.19462311992267123,0.2607435211136311,0.2299623844291193,Lower-Middle Income,4.0,20.1,0.1432517644336457,,240.00541666666663,3.6540384615384616,4.875,0.6492691793098225,18.8049
"Lancaster, PA",2016,0.6761852982871545,0.3238147017128456,0.205959015184636,0.2447299904357385,0.1649190205751122,High Income,11.9,25.0,0.1702636954503249,,240.00541666666663,3.6540384615384616,4.875,0.6921806643056395,18.8049
"Las Cruces, NM",2016,0.5976451642709117,0.4023548357290883,0.16322009968702336,0.2718771498476309,0.2669691667998755,Low Income,7.8,26.1,0.1515496692451693,,240.00541666666663,3.6540384615384616,4.875,0.6951253316437651,18.8049
"Lawrence, KS",2016,0.5018871236724305,0.4981128763275695,0.17823284125551536,0.2378766653179059,0.2207305447915828,Lower-Middle Income,12.1,52.0,0.1119725385130609,,240.00541666666663,3.6540384615384616,4.875,0.5386421486877907,18.8049
"Lawton, OK",2016,0.5280530247611447,0.4719469752388552,0.0960733950608081,0.1512338813329165,0.1621378783798175,Low Income,5.1,20.4,0.1190886178989057,,240.00541666666663,3.6540384615384616,4.875,0.6636075458313937,18.8049
"Lincoln, NE",2016,0.5954151466965983,0.4045848533034016,0.1711864027387846,0.2221002099443843,0.1774176152904792,High Income,14.2,39.8,0.1318958575098517,,240.00541666666663,3.6540384615384616,4.875,0.6149331213169956,18.8049
"Longview, TX",2016,0.65613527069652,0.34386472930348,0.1381633492192387,0.2138643046976533,0.1957317018991151,Lower-Middle Income,5.1,19.8,0.1516606421824269,,240.00541666666663,3.6540384615384616,4.875,0.6828688143130461,18.8049
"Lubbock, TX",2016,0.561874580182911,0.4381254198170889,0.13830825954923112,0.2315457830495895,0.2596484994389147,Lower-Middle Income,8.8,30.2,0.1227581153833901,,240.00541666666663,3.6540384615384616,4.875,0.6280205301321025,18.8049
"Madison, WI",2016,0.6243985036127495,0.3756014963872505,0.24056833904354422,0.2633450668122913,0.1988916581660448,High Income,23.0,46.6,0.13610888094075,,240.00541666666663,3.6540384615384616,4.875,0.5871811503476988,18.8049
"Manhattan, KS",2016,0.5030415926885351,0.4969584073114649,0.16791629133597394,0.245472398872294,0.2294598303680254,Lower-Middle Income,9.2,42.8,0.0976866933322337,,240.00541666666663,3.6540384615384616,4.875,0.579648979829438,18.8049
"Medford, OR",2016,0.6253040521067497,0.3746959478932503,0.2739882299759926,0.3610560445223223,0.2799627042263388,Upper-Middle Income,5.2,26.5,0.2096874754649535,,240.00541666666663,3.6540384615384616,4.875,0.6320018444867139,18.8049
"Merced, CA",2016,0.5219332672783189,0.478066732721681,0.22048452451672043,0.2918739742232697,0.2664423415430841,Low Income,4.1,13.5,0.1078750297760838,,240.00541666666663,3.6540384615384616,4.875,0.7726635183302665,18.8049
"Midland, TX",2016,0.6269242743972049,0.3730757256027951,0.21491037312690098,0.2206165852288078,0.1866223781421426,High Income,5.2,26.0,0.1037766674785976,,240.00541666666663,3.6540384615384616,4.875,0.6937765939045906,18.8049
"Missoula, MT",2016,0.5954531168150864,0.4045468831849135,0.2735671560176261,0.3659641981574226,0.19425845817432,High Income,4.9,41.1,0.1440024110910187,,240.00541666666663,3.6540384615384616,4.875,0.552875851231011,18.8049
"Mobile, AL",2016,0.6556022934816502,0.3443977065183498,0.11233769431921309,0.1823326286539009,0.2140306743537934,Low Income,4.7,23.7,0.1533690422239149,,240.00541666666663,3.6540384615384616,4.875,0.6504095048396027,18.8049
"Modesto, CA",2016,0.5665457742609078,0.4334542257390922,0.2651524307488666,0.2963648721244588,0.2551677262542013,Lower-Middle Income,4.1,16.2,0.1277106876431051,,240.00541666666663,3.6540384615384616,4.875,0.7583424436462075,18.8049
"Montgomery, AL",2016,0.6301809430430519,0.369819056956948,0.129545712584101,0.1738445090626571,0.2196977685820198,Lower-Middle Income,7.3,28.4,0.1432916049691224,,240.00541666666663,3.6540384615384616,4.875,0.6394989269577023,18.8049
"Morgantown, WV",2016,0.6310643098909364,0.3689356901090636,0.1733251975795847,0.2202223706729394,0.268586827028959,Lower-Middle Income,10.9,32.7,0.1353085706026882,,240.00541666666663,3.6540384615384616,4.875,0.5612913441935037,18.8049
"Napa, CA",2016,0.6366094308024455,0.3633905691975545,0.6136097317063389,0.4770737994380455,0.3154368272861292,High Income,4.9,35.1,0.1813865481198036,,240.00541666666663,3.6540384615384616,4.875,0.6541232017110228,18.8049
"Ocala, FL",2016,0.714926362681486,0.285073637318514,0.1342721694691373,0.2252839908964309,0.2524867480021378,Low Income,4.7,18.0,0.285442095008882,,240.00541666666663,3.6540384615384616,4.875,0.6580948904565738,18.8049
"Oklahoma City, OK",2016,0.6328774580645666,0.3671225419354333,0.14201103890069408,0.1989197556326031,0.2072651232844442,Upper-Middle Income,7.8,29.8,0.1316469209757277,,240.00541666666663,3.6540384615384616,4.875,0.6442782562379324,18.8049
"Panama City, FL",2016,0.6523331488946855,0.3476668511053145,0.1800073227831023,0.2583934362969895,0.2354186777068105,Lower-Middle Income,1.4,22.8,0.1713250337244204,,240.00541666666663,3.6540384615384616,4.875,0.6178431217558559,18.8049
"Peoria, IL",2016,0.7147126102421029,0.2852873897578971,0.10880094423316758,0.1619235718404984,0.1441149975994587,Upper-Middle Income,8.5,27.7,0.1704960057865568,,240.00541666666663,3.6540384615384616,4.875,0.6579354480424175,18.8049
"Pittsburgh, PA",2016,0.6973149364470277,0.3026850635529723,0.13812589857841717,0.1498055887595956,0.2135709820935324,High Income,17.2,34.6,0.1907847802522222,,240.00541666666663,3.6540384615384616,4.875,0.6048306557878363,18.8049
"Port St. Lucie, FL",2016,0.7251264369132783,0.2748735630867217,0.1974185585176076,0.2835891223432982,0.297678005510809,High Income,5.8,24.1,0.2581425942804079,,240.00541666666663,3.6540384615384616,4.875,0.6472195334291753,18.8049
"Pueblo, CO",2016,0.6477719791248494,0.3522280208751505,0.1452695040698303,0.2194813657371247,0.2251399331090002,Low Income,4.1,21.2,0.1785880828231076,,240.00541666666663,3.6540384615384616,4.875,0.6063749498193497,18.8049
"Punta Gorda, FL",2016,0.7781814310617856,0.2218185689382144,0.18505591161795018,0.27847893062139,0.3466485216743922,Lower-Middle Income,5.5,23.7,0.3890790911383184,,240.00541666666663,3.6540384615384616,4.875,0.6234314077740961,18.8049
"Reading, PA",2016,0.7116727171181234,0.2883272828818766,0.15957019805218853,0.1712982100505876,0.1594767073338653,Upper-Middle Income,9.3,25.0,0.1645805810825145,,240.00541666666663,3.6540384615384616,4.875,0.6813606202045186,18.8049
"Redding, CA",2016,0.6539565850613773,0.3460434149386227,0.23048988519149,0.3048745516677251,0.2330271220441614,Lower-Middle Income,5.6,21.8,0.2031553573715004,,240.00541666666663,3.6540384615384616,4.875,0.6453568208613635,18.8049
"Reno, NV",2016,0.5772163938695669,0.4227836061304331,0.3025557136049567,0.31018387360498,0.223445472112293,High Income,7.9,29.2,0.1578881778450196,,240.00541666666663,3.6540384615384616,4.875,0.6274748481262774,18.8049
"Rochester, MN",2016,0.7689416856704053,0.2310583143295946,0.19442068678845012,0.1940200624012325,0.2048464672913368,High Income,16.0,36.7,0.1599053195234477,,240.00541666666663,3.6540384615384616,4.875,0.6543956811095081,18.8049
"Rochester, NY",2016,0.6646111499212065,0.3353888500787935,0.14069544431239364,0.1726888690446749,0.2036228494561359,Upper-Middle Income,13.8,33.7,0.1689976355087085,,240.00541666666663,3.6540384615384616,4.875,0.6173211131818425,18.8049
"Rockford, IL",2016,0.6446921523154036,0.3553078476845964,0.10059399063216823,0.1769712623696254,0.1742949703250784,Lower-Middle Income,8.1,21.8,0.1635324831455377,,240.00541666666663,3.6540384615384616,4.875,0.6693274481933119,18.8049
"St. Cloud, MN",2016,0.6848224069273325,0.3151775930726675,0.17773792954435888,0.2116159739426992,0.1731453519249433,Upper-Middle Income,10.2,25.1,0.144635153646419,,240.00541666666663,3.6540384615384616,4.875,0.6250501109121522,18.8049
"St. George, UT",2016,0.7397342295360606,0.2602657704639394,0.26047109604002455,0.2836674246422794,0.2542065859763849,Lower-Middle Income,1.1,28.3,0.2039814034759275,,240.00541666666663,3.6540384615384616,4.875,0.7623131301425425,18.8049
"Salem, OR",2016,0.6032735935596052,0.3967264064403948,0.23900796298422797,0.2937258118221979,0.222348496111325,Lower-Middle Income,5.8,24.0,0.1571702232989508,,240.00541666666663,3.6540384615384616,4.875,0.667047741617492,18.8049
"Salinas, CA",2016,0.4917925878797519,0.5082074121202481,0.4892382655906568,0.4482228030747324,0.3016808078596379,High Income,5.5,24.8,0.1269231122711565,,240.00541666666663,3.6540384615384616,4.875,0.7203038014951487,18.8049
"Salt Lake City, UT",2016,0.6687236888747442,0.3312763111252558,0.2851664310714691,0.2534166674414424,0.1826069632180616,High Income,8.2,33.0,0.1009115763366147,,240.00541666666663,3.6540384615384616,4.875,0.7133960013558235,18.8049
"Santa Fe, NM",2016,0.6985989084132055,0.3014010915867944,0.2972956331215561,0.3145812743279972,0.2308139654680958,High Income,2.5,41.7,0.2215995856065549,,240.00541666666663,3.6540384615384616,4.875,0.5595879925452609,18.8049
"Savannah, GA",2016,0.5843403386892739,0.415659661310726,0.17911028839509674,0.2307169006466654,0.2228463154031098,Lower-Middle Income,11.9,31.0,0.1377127471199716,,240.00541666666663,3.6540384615384616,4.875,0.6547689770130206,18.8049
"Sioux Falls, SD",2016,0.6715694263363755,0.3284305736636245,0.19072596018198715,0.2206314597887542,0.1559541335014444,High Income,11.4,34.1,0.1288253619204691,,240.00541666666663,3.6540384615384616,4.875,0.6409815026075619,18.8049
"Spartanburg, SC",2016,0.6927959327236682,0.3072040672763317,0.13526936291675096,0.1836167721054705,0.2282082827156568,Lower-Middle Income,7.8,21.2,0.1596695590880365,,240.00541666666663,3.6540384615384616,4.875,0.6655688431284773,18.8049
"Springfield, IL",2016,0.7056718942892415,0.2943281057107585,0.13309297416397373,0.1859053279641183,0.1543679838104095,Upper-Middle Income,12.1,34.9,0.1661049729046588,,240.00541666666663,3.6540384615384616,4.875,0.6104887750903022,18.8049
"Springfield, MA",2016,0.6294733730309557,0.3705266269690443,0.20571883186416293,0.2796267961599238,0.2359882048685094,Upper-Middle Income,10.2,31.1,0.1595489645127664,,240.00541666666663,3.6540384615384616,4.875,0.6265467291693061,18.8049
"Springfield, MO",2016,0.6149382654995632,0.3850617345004368,0.13331632965686635,0.2010611558271848,0.192974206777337,Lower-Middle Income,7.2,26.5,0.1595564747586726,,240.00541666666663,3.6540384615384616,4.875,0.6293622141997594,18.8049
"Sumter, SC",2016,0.6534424093245493,0.3465575906754506,0.11812652686508196,0.1809421633161417,0.2310524157240757,Low Income,6.2,19.5,0.1555365190509888,,240.00541666666663,3.6540384615384616,4.875,0.6521634209319723,18.8049
"Syracuse, NY",2016,0.6709026217376367,0.3290973782623633,0.12572374557263105,0.159089666506994,0.2049023992029791,Upper-Middle Income,12.5,31.2,0.1594918584636943,,240.00541666666663,3.6540384615384616,4.875,0.61240616201146,18.8049
"Tallahassee, FL",2016,0.5684203900944814,0.4315796099055185,0.16375098689876974,0.233755960764067,0.2213584497101137,Lower-Middle Income,10.0,39.3,0.1282391939175501,,240.00541666666663,3.6540384615384616,4.875,0.5845962333293704,18.8049
"Toledo, OH",2016,0.6094370398552631,0.3905629601447369,0.10803350872605941,0.1838071227813656,0.1807511675039781,Lower-Middle Income,8.2,27.1,0.1538198443213305,,240.00541666666663,3.6540384615384616,4.875,0.5922839368759334,18.8049
"Topeka, KS",2016,0.6736854679321503,0.3263145320678496,0.1103088848553648,0.15763134284718,0.1576289784066271,Lower-Middle Income,10.2,28.2,0.1757684452606106,,240.00541666666663,3.6540384615384616,4.875,0.6392176878135656,18.8049
"Tucson, AZ",2016,0.6273753539486322,0.3726246460513677,0.18441274121041978,0.2471811160092178,0.2168425370238449,Lower-Middle Income,7.7,31.9,0.1906444165848263,,240.00541666666663,3.6540384615384616,4.875,0.6190602118078511,18.8049
"Tulsa, OK",2016,0.6426456950346063,0.3573543049653936,0.13757543220439705,0.2047122405122474,0.2171440076312716,High Income,7.4,27.2,0.1477512201935709,,240.00541666666663,3.6540384615384616,4.875,0.6552281503292973,18.8049
"Tuscaloosa, AL",2016,0.6341370558375634,0.3658629441624365,0.14157170979235614,0.1857660151386091,0.2485146412805801,Low Income,11.1,27.7,0.1327125583802531,,240.00541666666663,3.6540384615384616,4.875,0.6234310106137517,18.8049
"Tyler, TX",2016,0.6664687565970023,0.3335312434029976,0.15350799807365148,0.218237796171215,0.2347194043197355,High Income,4.5,24.9,0.159110479826002,,240.00541666666663,3.6540384615384616,4.875,0.6951261346843994,18.8049
"Urban Honolulu, HI",2016,0.5412638395181923,0.4587361604818077,0.6077830758126235,0.4267312716494827,0.2897597895960811,High Income,9.9,34.4,0.1658776653351534,,240.00541666666663,3.6540384615384616,4.875,0.698410901481067,18.8049
"Waco, TX",2016,0.5994515261879986,0.4005484738120013,0.1295082932428191,0.2268410606133309,0.2512849074566229,Lower-Middle Income,9.7,21.1,0.1404316850971612,,240.00541666666663,3.6540384615384616,4.875,0.6588839750260146,18.8049
"Warner Robins, GA",2016,0.6586422372792062,0.3413577627207937,0.13221640818438396,0.1516474306707145,0.19657697531885,Low Income,6.2,26.8,0.1310176914198985,,240.00541666666663,3.6540384615384616,4.875,0.7123937189937511,18.8049
"Wichita, KS",2016,0.6552979388392949,0.3447020611607052,0.119278410750118,0.1567895358776164,0.1712483528039185,Upper-Middle Income,9.3,30.7,0.1412896798652716,,240.00541666666663,3.6540384615384616,4.875,0.6423426551998856,18.8049
"Wichita Falls, TX",2016,0.6086182653115711,0.3913817346884289,0.09259760274976549,0.1723629196714698,0.182665023692588,Lower-Middle Income,2.6,23.4,0.1532633646025449,,240.00541666666663,3.6540384615384616,4.875,0.6565331149991991,18.8049
"Wilmington, NC",2016,0.6080825089454852,0.3919174910545148,0.2239352718597342,0.2777749007880553,0.2278201594686091,Upper-Middle Income,15.6,36.5,0.1686573027146967,,240.00541666666663,3.6540384615384616,4.875,0.5893496106082929,18.8049
"Yuba City, CA",2016,0.5273524828941129,0.4726475171058871,0.23735861494612656,0.2899658179674365,0.2538300290697973,Low Income,2.2,17.2,0.131696194874539,,240.00541666666663,3.6540384615384616,4.875,0.7254251067000881,18.8049
"Abilene, TX",2017,0.6504878009187864,0.3495121990812135,0.1273982356048137,0.1941447347319664,0.2060018171512234,Lower-Middle Income,8.3,22.2,0.1523149157275239,,245.121,3.989807692307693,4.358333333333333,0.6758437089102803,19.6121
"Akron, OH",2017,0.6674283225364869,0.3325716774635131,0.13186947968648732,0.1744665375138449,0.1670127767688752,Upper-Middle Income,10.5,32.2,0.1708232350871706,,245.121,3.989807692307693,4.358333333333333,0.6142138121279582,19.6121
"Albany, GA",2017,0.524276563612061,0.4757234363879389,0.08805630862845919,0.1628386942511144,0.1715871004356933,Low Income,2.4,21.2,0.1540190044413985,,245.121,3.989807692307693,4.358333333333333,0.6756296977797837,19.6121
"Albuquerque, NM",2017,0.6722017981500301,0.3277982018499699,0.18608719438236512,0.2417127886916596,0.2247439238093621,Lower-Middle Income,7.9,32.1,0.1613973297937933,,245.121,3.989807692307693,4.358333333333333,0.6112904015177468,19.6121
"Amarillo, TX",2017,0.6477139328113676,0.3522860671886324,0.1348498584194023,0.2036486672117171,0.2111601500332065,Upper-Middle Income,6.9,24.2,0.1321954421832505,,245.121,3.989807692307693,4.358333333333333,0.670610332472464,19.6121
"Ames, IA",2017,0.5214784154527846,0.4785215845472154,0.17663884404094304,0.2121172646411648,0.1888378997495752,Lower-Middle Income,8.2,53.0,0.1150130253738384,,245.121,3.989807692307693,4.358333333333333,0.5120326885828757,19.6121
"Anchorage, AK",2017,0.62626447199158,0.3737355280084201,0.2976128143496967,0.2484405422521921,0.1901589665723336,High Income,7.1,31.6,0.107566203029275,,245.121,3.989807692307693,4.358333333333333,0.6667202666354812,19.6121
"Ann Arbor, MI",2017,0.6175273042514337,0.3824726957485664,0.2688772305519411,0.2700456770189262,0.302480165019646,High Income,19.1,54.5,0.1338068205001265,,245.121,3.989807692307693,4.358333333333333,0.5601190941454853,19.6121
"Asheville, NC",2017,0.6804593587503421,0.3195406412496579,0.24862773679177008,0.2871368786455215,0.2653561658479896,Upper-Middle Income,9.4,37.1,0.2167534446283528,,245.121,3.989807692307693,4.358333333333333,0.5984979263594451,19.6121
"Bakersfield, CA",2017,0.578546296261894,0.4214537037381059,0.20617768096274547,0.2674493407593841,0.2559411437874512,Low Income,3.3,16.0,0.1063408123665491,,245.121,3.989807692307693,4.358333333333333,0.7334653553634259,19.6121
"Bangor, ME",2017,0.7167106565489937,0.2832893434510062,0.14080101583840302,0.2183769839108927,0.2184113753720111,Lower-Middle Income,9.7,29.1,0.1798403495725764,,245.121,3.989807692307693,4.358333333333333,0.6065324975255691,19.6121
"Baton Rouge, LA",2017,0.6796148904573593,0.3203851095426407,0.1841129375081356,0.2141910040922084,0.2327275968289981,Upper-Middle Income,7.8,27.8,0.1350641784120293,,245.121,3.989807692307693,4.358333333333333,0.6642805893444127,19.6121
"Bellingham, WA",2017,0.6162056049460716,0.3837943950539284,0.34600555398303495,0.3464953537462228,0.2344116889339894,Upper-Middle Income,8.1,35.8,0.170471174865856,,245.121,3.989807692307693,4.358333333333333,0.614716368067151,19.6121
"Billings, MT",2017,0.6902464109102693,0.3097535890897308,0.23857622522856403,0.261787912939417,0.1820523409239067,High Income,11.2,32.2,0.1720468848972286,,245.121,3.989807692307693,4.358333333333333,0.638315558122825,19.6121
"Bismarck, ND",2017,0.6742162784009204,0.3257837215990796,0.2569343252165055,0.2343430029999046,0.1755459731306176,High Income,15.9,33.0,0.1529371003336672,,245.121,3.989807692307693,4.358333333333333,0.6330888697152718,19.6121
"Bloomington, IL",2017,0.6653422127707203,0.3346577872292797,0.16415525426716993,0.2107491653521205,0.1532155601628883,Upper-Middle Income,9.2,43.1,0.1337815793427633,,245.121,3.989807692307693,4.358333333333333,0.6015165929822598,19.6121
"Bloomington, IN",2017,0.5658477834566034,0.4341522165433967,0.17164842303970215,0.2279197482298182,0.270784923133977,Lower-Middle Income,12.9,40.9,0.1297601668404588,,245.121,3.989807692307693,4.358333333333333,0.5644889829069067,19.6121
"Boise City, ID",2017,0.6811063301934334,0.3188936698065666,0.2383541631206681,0.2469827658927383,0.2164132104101434,Upper-Middle Income,9.2,30.1,0.1401052760504728,,245.121,3.989807692307693,4.358333333333333,0.6342753033298446,19.6121
"Bowling Green, KY",2017,0.62450339221319,0.3754966077868101,0.15080461350780533,0.2018542219086656,0.224799325424646,Low Income,9.1,23.9,0.136327980546186,,245.121,3.989807692307693,4.358333333333333,0.6700385062037773,19.6121
"Burlington, NC",2017,0.6375075732861071,0.3624924267138929,0.1520920918556356,0.1865694549532628,0.1803128367220201,Low Income,6.0,23.4,0.166597902593124,,245.121,3.989807692307693,4.358333333333333,0.6645073091920275,19.6121
"Casper, WY",2017,0.7238297088094361,0.2761702911905639,0.1990933581173672,0.1999282919786771,0.1575025244815139,High Income,4.7,24.2,0.1423812337360302,,245.121,3.989807692307693,4.358333333333333,0.6326944342056764,19.6121
"Cedar Rapids, IA",2017,0.7646796905437747,0.2353203094562253,0.14844613552937377,0.178507706191897,0.1480212730018965,Upper-Middle Income,10.9,31.0,0.1599338495632517,,245.121,3.989807692307693,4.358333333333333,0.6406652937793362,19.6121
"Charleston, WV",2017,0.7109977933526177,0.2890022066473823,0.09800102298925718,0.158839465872002,0.1940325900092051,Lower-Middle Income,5.4,23.3,0.2006053308165457,,245.121,3.989807692307693,4.358333333333333,0.6464219155528623,19.6121
"Cheyenne, WY",2017,0.7166743483381984,0.2833256516618016,0.2600189551194362,0.2586038056499392,0.1762655753034842,Upper-Middle Income,5.6,27.9,0.1542607828978815,,245.121,3.989807692307693,4.358333333333333,0.6541967532134992,19.6121
"Chico, CA",2017,0.5799858103314302,0.4200141896685699,0.28191615348030064,0.3499467361563227,0.2645393792895888,Lower-Middle Income,8.2,26.6,0.1806545308643052,,245.121,3.989807692307693,4.358333333333333,0.5898735317634605,19.6121
"Coeur d'Alene, ID",2017,0.730387691900038,0.2696123080999619,0.26828719966679543,0.2848005961797061,0.2181649122370564,Upper-Middle Income,1.2,26.0,0.1833008747946231,,245.121,3.989807692307693,4.358333333333333,0.689647748538496,19.6121
"Colorado Springs, CO",2017,0.6369152848330237,0.3630847151669762,0.2819922051635722,0.2494841999929453,0.2206121703604859,Upper-Middle Income,9.9,39.2,0.1271084353993352,,245.121,3.989807692307693,4.358333333333333,0.6876608409604583,19.6121
"Columbia, MO",2017,0.5626892189609836,0.4373107810390164,0.1798939997996375,0.2273041967032578,0.1654283446215736,Upper-Middle Income,15.0,45.7,0.1207431382558015,,245.121,3.989807692307693,4.358333333333333,0.5539762632364438,19.6121
"Columbia, SC",2017,0.6772888688016528,0.3227111311983471,0.1479979699872128,0.1780488132063332,0.2229638265429182,Lower-Middle Income,9.5,31.9,0.1455908092566823,,245.121,3.989807692307693,4.358333333333333,0.6395176911157024,19.6121
"Columbus, OH",2017,0.6178394972532975,0.3821605027467025,0.17881616592201113,0.2070498194954222,0.1824359234726066,Upper-Middle Income,12.6,35.9,0.1292017943691445,,245.121,3.989807692307693,4.358333333333333,0.6418056495628345,19.6121
"Corpus Christi, TX",2017,0.6004005074753104,0.3995994925246897,0.16298866620024943,0.2393463548806588,0.2573517766838947,Lower-Middle Income,4.2,19.7,0.1525131716426205,,245.121,3.989807692307693,4.358333333333333,0.6913853578447225,19.6121
"Corvallis, OR",2017,0.5535618563972352,0.4464381436027648,0.33978679086645913,0.3624897980887325,0.2319525686609181,Upper-Middle Income,11.8,53.8,0.1549735571901353,,245.121,3.989807692307693,4.358333333333333,0.5832416419805332,19.6121
"Dover, DE",2017,0.7037158932405535,0.2962841067594464,0.2049139234179887,0.2182937040494021,0.2510151869929517,Low Income,10.8,23.3,0.1641802017825634,,245.121,3.989807692307693,4.358333333333333,0.6979014841631795,19.6121
"East Stroudsburg, PA",2017,0.7933689394464868,0.2066310605535132,0.14806603559594617,0.2100221544528816,0.1968425267857046,Lower-Middle Income,8.1,24.1,0.1676862287706937,,245.121,3.989807692307693,4.358333333333333,0.7208330443226746,19.6121
"El Paso, TX",2017,0.6123646677231595,0.3876353322768406,0.1325264629663617,0.239755778746932,0.2607460895933691,Low Income,6.2,22.8,0.1187738599724449,,245.121,3.989807692307693,4.358333333333333,0.7434536945156178,19.6121
"Erie, PA",2017,0.6655848346825499,0.3344151653174501,0.12461090082071373,0.2046472025321957,0.1469468767301861,Lower-Middle Income,13.6,27.1,0.1723531275838581,,245.121,3.989807692307693,4.358333333333333,0.6169945969868521,19.6121
"Fayetteville, NC",2017,0.5205015840229997,0.4794984159770002,0.1359913403626393,0.2159782398797149,0.2247173110044448,Low Income,6.5,23.6,0.1156591545070371,,245.121,3.989807692307693,4.358333333333333,0.6191087602752152,19.6121
"Flint, MI",2017,0.7122840470917637,0.2877159529082362,0.09720107201876095,0.1541716658726906,0.175958099381335,Low Income,6.8,20.9,0.1692379444505811,,245.121,3.989807692307693,4.358333333333333,0.6304829259167627,19.6121
"Fort Collins, CO",2017,0.6655086148661188,0.3344913851338811,0.3741268491499454,0.3165033135350485,0.2278058205025266,High Income,19.7,47.9,0.1512402028048468,,245.121,3.989807692307693,4.358333333333333,0.6002494265416565,19.6121
"Fort Wayne, IN",2017,0.6948722670008731,0.3051277329991269,0.1300599765326094,0.1595920023548034,0.1621516820262582,Upper-Middle Income,8.2,25.7,0.1473941424288511,,245.121,3.989807692307693,4.358333333333333,0.6503246039712757,19.6121
"Fresno, CA",2017,0.5339367403594937,0.4660632596405063,0.24136651770524556,0.2933050554098826,0.2806089907665682,Lower-Middle Income,5.2,20.4,0.1198073297582524,,245.121,3.989807692307693,4.358333333333333,0.7315863304765237,19.6121
"Gainesville, FL",2017,0.5739618255348171,0.4260381744651828,0.176809297744545,0.2588547920422941,0.2557100870434278,Lower-Middle Income,17.9,38.7,0.1411165698346731,,245.121,3.989807692307693,4.358333333333333,0.4814362974419073,19.6121
"Gainesville, GA",2017,0.7046200373206357,0.2953799626793643,0.2059135029310941,0.2212545690533173,0.2161352252007213,Upper-Middle Income,6.7,26.3,0.1446359144154313,,245.121,3.989807692307693,4.358333333333333,0.7367608262016602,19.6121
"Grand Junction, CO",2017,0.6808445185628936,0.3191554814371063,0.229286035164096,0.2661314289426096,0.2171009361766689,Lower-Middle Income,6.6,25.8,0.1897688898269312,,245.121,3.989807692307693,4.358333333333333,0.6392986091996826,19.6121
"Great Falls, MT",2017,0.6864991303304744,0.3135008696695255,0.18054584903813087,0.248824937192801,0.1873862962350419,Upper-Middle Income,7.2,26.3,0.1849266416831998,,245.121,3.989807692307693,4.358333333333333,0.6166856594494092,19.6121
"Greenville, NC",2017,0.5363988030070798,0.4636011969929202,0.1349492486868908,0.2029446470705568,0.2327903359011012,Lower-Middle Income,9.4,34.6,0.1276516124708169,,245.121,3.989807692307693,4.358333333333333,0.6333990219691993,19.6121
"Hinesville, GA",2017,0.5391604640246764,0.4608395359753235,0.12748821612556427,0.189264261942641,0.2393596033989117,Low Income,4.9,21.9,0.0871872069493114,,245.121,3.989807692307693,4.358333333333333,0.6765238382619191,19.6121
"Homosassa Springs, FL",2017,0.8139174416707456,0.1860825583292543,0.14479222814425544,0.2248797261778171,0.2730247680527783,Low Income,3.7,16.8,0.3638454619731268,,245.121,3.989807692307693,4.358333333333333,0.6215859030837004,19.6121
"Huntsville, AL",2017,0.6781492795006309,0.3218507204993691,0.1743033938673472,0.1794123995273413,0.1691816415763339,Upper-Middle Income,10.0,38.8,0.1487831761254852,,245.121,3.989807692307693,4.358333333333333,0.6622894393164663,19.6121
"Idaho Falls, ID",2017,0.72978543805579,0.2702145619442099,0.1941101403023194,0.2078534284342767,0.1506103740489442,Lower-Middle Income,11.0,29.6,0.1270115377470777,,245.121,3.989807692307693,4.358333333333333,0.742584558607016,19.6121
"Iowa City, IA",2017,0.6258736103329303,0.3741263896670697,0.20137633408043198,0.2403202231906274,0.2229271642385172,Upper-Middle Income,17.4,51.5,0.1237907528674974,,245.121,3.989807692307693,4.358333333333333,0.5365073280056619,19.6121
"Jackson, MI",2017,0.7372388299582128,0.2627611700417872,0.12898341075363884,0.1785871295411005,0.1545823945675302,Low Income,5.9,22.2,0.1718986384266263,,245.121,3.989807692307693,4.358333333333333,0.6320315011250401,19.6121
"Jackson, MS",2017,0.6727215903171732,0.3272784096828268,0.13211549161076852,0.1655836937460211,0.2213196212005574,Lower-Middle Income,12.5,30.5,0.1417136321385501,,245.121,3.989807692307693,4.358333333333333,0.6773385485230469,19.6121
